Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt,Active
876,0.203233256,-0.064665127,-0.13462963,0.930715935,-0.080357143,-0.008775982,0.019126984,0.46031746,0.078930804,0.069232804,1
1924,-0.884615385,-0.230769231,0.05867037,-0.846153846,0,0.008115385,-0.080873016,-0.53968254,-0.008705882,-0.020767196,-1
576,0.203233256,-0.064665127,-0.11792963,-1.069284065,-0.080357143,-0.005775982,0.089126984,0.46031746,-0.056069196,0.199232804,1
1245,0.115384615,-0.230769231,-0.10032963,1.153846154,0,0.016115385,-0.000873016,-0.53968254,0.131294118,-0.480767196,-1
1328,0.115384615,-0.230769231,0.10467037,6.153846154,0,-0.010884615,-0.140873016,-0.53968254,-0.116705882,-0.450767196,-1
880,0.203233256,-0.064665127,-0.11792963,-1.069284065,-0.080357143,-0.005775982,0.089126984,0.46031746,-0.056069196,0.199232804,1
226,-0.796766744,-0.064665127,0.072818391,-1.069284065,-0.080357143,0.070224018,-0.064367816,-0.333333333,0.278930804,-0.444942529,-1
216,-0.796766744,-0.064665127,0.384818391,1.930715935,-0.080357143,0.024224018,0.015632184,-0.333333333,-0.077069196,0.055057471,1
412,-0.884615385,-0.230769231,-0.217181609,1.153846154,-0.080357143,-0.010884615,-0.084367816,-0.333333333,0.138930804,-0.434942529,-1
1265,0.115384615,-0.230769231,0.13367037,5.153846154,-0.080357143,0.009115385,0.019126984,-0.53968254,0.218930804,-0.360767196,-1
1349,0.115384615,-0.230769231,0.21867037,0.153846154,0,0.000115385,-0.050873016,-0.53968254,0.131294118,0.129232804,-1
233,-0.796766744,-0.064665127,-0.263181609,-2.069284065,-0.080357143,0.101224018,-0.134367816,-0.333333333,0.208930804,-0.904942529,-1
768,0.203233256,-0.064665127,-0.18772963,-1.069284065,-0.080357143,0.005224018,-0.110873016,-0.53968254,0.138930804,0.179232804,-1
1997,-0.884615385,-0.230769231,-0.18922963,-0.846153846,0,0.059115385,0.019126984,-0.53968254,-0.119705882,-0.620767196,-1
890,2.203233256,-0.064665127,-0.18772963,-1.069284065,-0.080357143,0.005224018,-0.110873016,-0.53968254,0.138930804,0.189232804,1
1298,-0.884615385,-0.230769231,-0.11842963,0.153846154,0,-0.001884615,0.009126984,-0.53968254,-0.018705882,-0.020767196,-1
1961,-0.884615385,-0.230769231,-0.15552963,-0.846153846,0,0.017115385,-0.000873016,-0.53968254,0.051294118,-0.630767196,-1
565,-0.796766744,-0.064665127,-0.19212963,-0.069284065,-0.080357143,0.012224018,-0.090873016,-0.53968254,0.108930804,0.109232804,1
77,-0.796766744,-0.064665127,-0.383541609,-0.069284065,-0.080357143,0.008224018,-0.104367816,-0.333333333,0.138930804,0.325057471,-1
2037,-2.166666667,-0.333333333,-0.12142963,0,-0.080357143,-0.011,0.019126984,-0.53968254,0.138930804,-0.270767196,-1
335,1.203233256,-0.064665127,-0.241181609,-1.069284065,-0.080357143,0.087224018,-0.074367816,-0.333333333,0.138930804,-0.584942529,-1
1759,-0.884615385,-0.230769231,0.16167037,-0.846153846,0,0.050115385,0.019126984,-0.53968254,-0.095705882,-0.980767196,-1
144,0.203233256,-0.064665127,0.005818391,-0.069284065,-0.080357143,0.025224018,-0.054367816,-0.333333333,0.128930804,-0.114942529,-1
388,-1.166666667,0.666666667,-0.375081609,1,0.919642857,-0.004,0.045632184,-0.333333333,-0.105069196,-0.094942529,-1
893,4.203233256,-0.064665127,-0.13832963,1.930715935,-0.080357143,-0.004775982,-0.010873016,-0.53968254,-0.041069196,-0.090767196,1
924,1.203233256,-0.064665127,0.11667037,0.930715935,-0.080357143,-0.006775982,-0.050873016,-0.53968254,0.017930804,-0.290767196,1
1527,-2.166666667,-0.333333333,0.056818391,-1,-0.080357143,0.009,-0.044367816,-0.333333333,0.138930804,0.045057471,-1
553,-0.796766744,-0.064665127,-0.17622963,-1.069284065,-0.080357143,-0.009775982,0.029126984,0.46031746,-0.156069196,0.449232804,1
445,0.203233256,-0.064665127,0.09967037,-0.069284065,-0.080357143,0.001224018,0.059126984,-0.53968254,0.046930804,-0.160767196,1
1315,-0.884615385,-0.230769231,-0.13202963,-1.846153846,0,0.032115385,0.059126984,-0.53968254,-0.118705882,-0.490767196,-1
1285,0.115384615,-0.230769231,-0.04432963,-1.846153846,0,0.015115385,-0.070873016,-0.53968254,0.141294118,-0.930767196,-1
347,-0.796766744,-0.064665127,-0.251181609,-1.069284065,-0.080357143,0.018224018,-0.094367816,-0.333333333,0.218930804,-0.414942529,-1
1699,-0.166666667,-0.333333333,0.24667037,3,-0.080357143,0.001,-0.030873016,-0.53968254,0.067930804,0.119232804,-1
683,-0.796766744,-0.064665127,-0.14602963,-1.069284065,-0.080357143,-0.007775982,0.029126984,0.46031746,-0.169069196,0.379232804,1
106,-0.796766744,-0.064665127,0.055818391,1.930715935,-0.080357143,0.023224018,-0.064367816,-0.333333333,0.019930804,-0.164942529,1
1862,-0.884615385,-0.230769231,0.33067037,3.153846154,0,-0.020884615,-0.060873016,-0.53968254,-0.184705882,-0.120767196,-1
1965,0.115384615,-0.230769231,-0.14322963,0.153846154,0,0.001115385,-0.100873016,-0.53968254,0.121294118,-0.320767196,-1
862,-0.796766744,-0.064665127,0.18067037,1.930715935,-0.080357143,0.015224018,-0.020873016,-0.53968254,0.148930804,-0.130767196,-1
646,-0.796766744,-0.064665127,-0.20768963,-0.069284065,-0.080357143,0.008224018,-0.100873016,-0.53968254,0.138930804,0.129232804,1
1630,2.203233256,-0.064665127,-0.02932963,9.930715935,-0.080357143,0.036224018,-0.060873016,-0.53968254,0.138930804,-0.120767196,-1
1974,-0.884615385,-0.230769231,0.09867037,-1.846153846,0,-0.000884615,-0.100873016,-0.53968254,0.061294118,-0.640767196,-1
1941,0.115384615,-0.230769231,-0.12412963,0.153846154,0,0.024115385,0.019126984,-0.53968254,-0.056705882,-0.370767196,-1
1732,-0.884615385,-0.230769231,0.07867037,-1.846153846,0,0.026115385,-0.040873016,-0.53968254,0.151294118,-0.700767196,-1
660,-0.796766744,-0.064665127,-0.18942963,0.930715935,-0.080357143,0.000224018,0.009126984,0.46031746,-0.107069196,-0.140767196,1
1948,-0.884615385,-0.230769231,-0.19512963,-1.846153846,0,0.062115385,0.039126984,-0.53968254,-0.059705882,-0.820767196,-1
94,-0.796766744,-0.064665127,-0.080181609,2.930715935,-0.080357143,0.004224018,-0.044367816,-0.333333333,0.388930804,0.025057471,-1
1205,0.115384615,-0.230769231,0.08367037,5.153846154,0,-0.015884615,-0.080873016,-0.53968254,-0.076705882,-0.270767196,-1
2016,-0.884615385,-0.230769231,0.06467037,0.153846154,0,-0.015884615,-0.020873016,-0.53968254,0.061294118,-0.370767196,-1
269,-0.796766744,-0.064665127,0.460818391,2.930715935,-0.080357143,0.014224018,0.055632184,0.666666667,0.019930804,-0.014942529,1
853,-0.796766744,-0.064665127,0.01067037,-1.069284065,-0.080357143,-0.013775982,0.029126984,0.46031746,-0.078069196,-0.020767196,1
54,-0.796766744,-0.064665127,-0.264181609,2.930715935,-0.080357143,-0.000775982,0.005632184,-0.333333333,0.388930804,0.385057471,-1
1795,0.115384615,-0.230769231,-0.21104963,7.153846154,0,0.003115385,0.009126984,-0.53968254,0.061294118,-0.090767196,-1
1308,-0.884615385,-0.230769231,-0.21159963,1.153846154,0,-0.020884615,0.079126984,-0.53968254,0.141294118,-0.340767196,-1
1502,0.203233256,-0.064665127,-0.384071609,-0.069284065,-0.080357143,0.006224018,-0.094367816,-0.333333333,0.078930804,0.345057471,-1
282,-0.796766744,-0.064665127,-0.272181609,0.930715935,-0.080357143,0.006224018,0.015632184,-0.333333333,0.398930804,0.245057471,-1
1755,-0.884615385,-0.230769231,0.12467037,-0.846153846,0,-0.006884615,-0.080873016,-0.53968254,-0.018705882,0.369232804,-1
629,-0.796766744,-0.064665127,-0.08332963,-1.069284065,-0.080357143,-0.007775982,0.009126984,0.46031746,-0.091069196,0.349232804,1
1950,-0.884615385,-0.230769231,-0.20692963,-1.846153846,0,0.043115385,0.129126984,-0.53968254,-0.138705882,-0.800767196,-1
9,-0.796766744,-0.064665127,-0.303181609,0.930715935,-0.080357143,0.004224018,-0.004367816,-0.333333333,-0.009069196,-0.144942529,1
1824,-0.884615385,-0.230769231,-0.12782963,3.153846154,0,0.003115385,-0.020873016,-0.53968254,-0.201705882,-0.460767196,-1
1138,0.115384615,-0.230769231,-0.15472963,1.153846154,0,0.004115385,-0.030873016,-0.53968254,0.041294118,-0.370767196,-1
506,-0.796766744,-0.064665127,0.18067037,-0.069284065,-0.080357143,0.015224018,-0.020873016,-0.53968254,0.138930804,-0.190767196,-1
2020,-0.884615385,-0.230769231,-0.13802963,2.153846154,0,0.011115385,-0.010873016,-0.53968254,-0.037705882,-0.640767196,-1
521,-0.796766744,-0.064665127,-0.10932963,1.930715935,-0.080357143,-0.007775982,0.009126984,0.46031746,-0.089069196,-0.060767196,1
1831,-0.884615385,-0.230769231,0.31667037,-0.846153846,0,-0.001884615,-0.060873016,-0.53968254,0.351294118,-0.340767196,-1
1790,-0.884615385,-0.230769231,-0.07732963,0.153846154,0,0.015115385,-0.040873016,-0.53968254,0.061294118,-0.600767196,-1
182,-0.796766744,-0.064665127,-0.142181609,-2.069284065,-0.080357143,0.039224018,-0.034367816,-0.333333333,0.198930804,0.025057471,-1
1981,-0.884615385,-0.230769231,-0.19442963,-0.846153846,0,0.009115385,0.029126984,-0.53968254,-0.008705882,-0.420767196,-1
