Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt
256,0.203233256,0.935334873,-0.375081609,3.930715935,0.919642857,-0.005775982,0.045632184,-0.333333333,-0.105069196,-0.094942529
254,0.203233256,-0.064665127,-0.185181609,-2.069284065,-0.080357143,0.055224018,-0.024367816,-0.333333333,0.228930804,-0.554942529
1669,-2.166666667,-0.333333333,0.02167037,-5,-0.080357143,0.019,0.079126984,-0.53968254,0.148930804,-0.050767196
1166,0.115384615,-0.230769231,0.10867037,3.153846154,-0.080357143,-0.017884615,-0.020873016,-0.53968254,0.029930804,-0.230767196
345,-0.796766744,-0.064665127,-0.246181609,-3.069284065,-0.080357143,0.037224018,-0.074367816,-0.333333333,0.228930804,-0.644942529
821,-0.796766744,-0.064665127,-0.14652963,-1.069284065,-0.080357143,-0.011775982,0.009126984,0.46031746,0.078930804,-0.000767196
56,-0.796766744,-0.064665127,-0.193181609,-2.069284065,-0.080357143,0.098224018,-0.074367816,-0.333333333,0.168930804,-0.704942529
291,-0.796766744,-0.064665127,-0.297881609,-1.069284065,-0.080357143,0.014224018,-0.014367816,-0.333333333,0.358930804,0.085057471
2006,-0.884615385,-0.230769231,-0.05532963,-1.846153846,0,0.032115385,0.019126984,-0.53968254,-0.104705882,-0.590767196
357,-0.796766744,-0.064665127,-0.237181609,-0.069284065,-0.080357143,-0.000775982,-0.004367816,0.666666667,-0.057069196,0.055057471
407,0.115384615,-0.230769231,-0.048181609,1.153846154,-0.080357143,-0.023884615,-0.044367816,-0.333333333,-0.054069196,-0.094942529
1306,0.115384615,-0.230769231,0.15467037,0.153846154,0,0.009115385,-0.040873016,-0.53968254,-0.018705882,-0.220767196
549,-0.796766744,-0.064665127,-0.10832963,-1.069284065,-0.080357143,0.067224018,-0.060873016,-0.53968254,0.428930804,-0.820767196
1945,0.115384615,-0.230769231,-0.09532963,0.153846154,0,0.035115385,-0.110873016,-0.53968254,-0.154705882,-0.790767196
157,-0.796766744,-0.064665127,-0.221181609,-2.069284065,-0.080357143,0.004224018,0.095632184,0.666666667,-0.114069196,0.075057471
1734,-0.884615385,-0.230769231,0.08967037,0.153846154,0,0.030115385,-0.120873016,-0.53968254,0.021294118,-0.940767196
5,-0.796766744,-0.064665127,-0.131181609,-3.069284065,-0.080357143,0.031224018,-0.044367816,-0.333333333,0.158930804,-0.384942529
1743,0.115384615,-0.230769231,0.17167037,-0.846153846,0,-0.008884615,-0.030873016,-0.53968254,-0.008705882,-0.080767196
1762,0.115384615,-0.230769231,-0.06932963,2.153846154,0,0.006115385,-0.070873016,-0.53968254,0.011294118,-0.250767196
997,-0.796766744,-0.064665127,0.24867037,-2.069284065,-0.080357143,0.014224018,0.029126984,-0.53968254,0.158930804,-0.230767196
573,-0.796766744,0.935334873,-0.01332963,1.930715935,0.919642857,-0.005775982,-0.010873016,-0.53968254,0.128930804,-0.070767196
901,-0.796766744,-0.064665127,0.00867037,-1.069284065,-0.080357143,-0.015775982,-0.000873016,0.46031746,-0.110069196,0.639232804
1037,-0.796766744,-0.064665127,-0.18672963,-2.069284065,-0.080357143,0.000224018,0.019126984,0.46031746,-0.062069196,0.219232804
1711,-2.166666667,-0.333333333,0.18467037,-6,-0.080357143,0.01,-0.020873016,-0.53968254,0.138930804,0.109232804
1988,-0.884615385,-0.230769231,0.13367037,2.153846154,0,-0.023884615,-0.010873016,-0.53968254,0.021294118,-0.540767196
608,-0.796766744,-0.064665127,-0.15242963,-1.069284065,-0.080357143,-0.009775982,-0.000873016,0.46031746,0.036930804,-0.000767196
